                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   40106953 |   40087440 |   40114693 |   40088961 |   40105221 |   40087874 |   40099997 |   40084017 |   40087244 |   40085952 |   40083400 |   40120751 |   40082736 |   40121709 |   40083169 |   40082719
  Cycles                             |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938 |  214473938
  IPC                                |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19 |       0.19
  Time (ns)                          |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300 |   80629300
  Idle time (ns)                     |        186 |         26 |        162 |        161 |        138 |        127 |        113 |        113 |         97 |         23 |        -25 |        245 |         66 |        -25 |        174 |         97
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10018480 |   10013601 |   10020414 |   10013982 |   10018046 |   10013710 |   10016741 |   10012747 |   10013553 |   10013230 |   10012592 |   10021912 |   10012425 |   10022008 |   10012534 |   10012421
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1450 |       1441 |       1517 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15179 |      15165 |      15334 |      15165 |      15165
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         49 |         48 |         52 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
